m,cov_bin,obs_clust_weight,exp_clust_weight,exp_std_dev,z_score
200,0.595238095238095,440,292.771855010661,10.8080418920927,13.6220923696691
201,0.598214285714286,444,295.714285714286,10.8220587102536,13.702172410617
202,0.601190476190476,446,298.671428571429,10.8355268613143,13.5968073647229
203,0.604166666666667,449,301.64328358209,10.84844246556,13.5832140775707
204,0.607142857142857,455,304.629850746269,10.8608015784499,13.8452165033653
205,0.610119047619048,458,307.631130063966,10.8726001890001,13.8300744368549
206,0.613095238095238,458,310.647121535181,10.8838342180937,13.5386919271385
207,0.616071428571429,459,313.677825159915,10.8944995167543,13.3390409184561
208,0.619047619047619,463,316.723240938166,10.9045918643403,13.4142351113737
209,0.62202380952381,468,319.783368869936,10.9141069666937,13.5802802356961
210,0.625,472,322.858208955224,10.9230404542149,13.6538715268811
211,0.62797619047619,476,325.94776119403,10.9313878798724,13.7267326395266
212,0.630952380952381,479,329.052025586354,10.9391447171551,13.707467840561
213,0.633928571428571,481,332.171002132196,10.9463063579314,13.5962755838609
214,0.636904761904762,485,335.304690831556,10.9528681102499,13.6672246631324
215,0.639880952380952,489,338.453091684435,10.9588251960509,13.7375043056454
216,0.642857142857143,491,341.616204690832,10.9641727488074,13.6247210557146
217,0.645833333333333,492,344.794029850746,10.9689058110579,13.4202966717841
218,0.648809523809524,496,347.986567164179,10.9730193318792,13.488851915699
219,0.651785714285714,499,351.19381663113,10.9765081642316,13.4656833628126
220,0.654761904761905,502,354.415778251599,10.9793670622348,13.4419608081088
221,0.657738095238095,503,357.652452025586,10.9815906783251,13.2355641575034
222,0.660714285714286,504,360.903837953092,10.9831735602997,13.0286716549896
223,0.663690476190476,506,364.169936034115,10.9841101482709,12.9122944008543
224,0.666666666666667,510,367.450746268657,10.9843947714676,12.9774335953056
225,0.669642857142857,513,370.746268656716,10.9840216449464,12.9509696850181
226,0.672619047619048,517,374.056503198294,10.9829848661544,13.0149953353943
227,0.675595238095238,520,377.38144989339,10.9812784113462,12.9874268518
228,0.678571428571429,523,380.721108742004,10.9788961318788,12.959307524995
229,0.681547619047619,526,384.075479744136,10.9758317503456,12.9306391974708
230,0.68452380952381,532,387.444562899787,10.972078856549,13.1748448940404
231,0.6875,537,390.828358208955,10.9676309033037,13.3275493203381
232,0.69047619047619,540,394.226865671642,10.9624812020866,13.2974580882849
233,0.693452380952381,541,397.640085287846,10.9566229184615,13.0843158315321
