m,cov_bin,observed,expected,z_score
184,0.547619047619048,42,27.9285714285714,4.29201911878189
185,0.550595238095238,42,28.0803571428571,4.24822898295337
186,0.553571428571429,42,28.2321428571429,4.20453926185429
187,0.556547619047619,42,28.3839285714286,4.1609456815156
188,0.55952380952381,42,28.5357142857143,4.11744398296854
189,0.5625,43,28.6875,4.38006033660698
190,0.56547619047619,43,28.8392857142857,4.33696677216409
191,0.568452380952381,44,28.9910714285714,4.60048023178087
192,0.571428571428571,44,29.1428571428571,4.55782453332188
193,0.574404761904762,44,29.2946428571429,4.51526315004254
194,0.577380952380952,44,29.4464285714286,4.47279205104696
195,0.580357142857143,44,29.5982142857143,4.43040721404323
196,0.583333333333333,45,29.75,4.69604178982872
197,0.586309523809524,45,29.9017857142857,4.65413776587625
198,0.589285714285714,45,30.0535714285714,4.61232026286892
199,0.592261904761905,45,30.2053571428571,4.57058538743928
200,0.595238095238095,45,30.3571428571429,4.52892924935828
201,0.598214285714286,45,30.5089285714286,4.48734795950418
202,0.601190476190476,45,30.6607142857143,4.44583762781053
203,0.604166666666667,45,30.8125,4.40439436119036
204,0.607142857142857,45,30.9642857142857,4.36301426143358
205,0.610119047619048,45,31.1160714285714,4.3216934230746
206,0.613095238095238,45,31.2678571428571,4.28042793122689
207,0.616071428571429,45,31.4196428571429,4.23921385938128
208,0.619047619047619,45,31.5714285714286,4.19804726716446
209,0.62202380952381,45,31.7232142857143,4.15692419805431
210,0.625,45,31.875,4.11584067704815
211,0.62797619047619,45,32.0267857142857,4.0747927082802
212,0.630952380952381,45,32.1785714285714,4.0337762725841
213,0.633928571428571,46,32.3303571428571,4.30793332950629
214,0.636904761904762,46,32.4821428571429,4.26751654307065
215,0.639880952380952,46,32.6339285714286,4.22713409971572
216,0.642857142857143,46,32.7857142857143,4.18678208309087
217,0.645833333333333,46,32.9375,4.14645654851165
218,0.648809523809524,46,33.0892857142857,4.10615352037427
219,0.651785714285714,46,33.2410714285714,4.06586898949469
220,0.654761904761905,46,33.3928571428571,4.02559891036704
221,0.657738095238095,46,33.5446428571429,3.98533919833567
222,0.660714285714286,46,33.6964285714286,3.9450857266751
223,0.663690476190476,46,33.8482142857143,3.90483432357164
224,0.666666666666667,46,34,3.8645807689999
225,0.669642857142857,46,34.1517857142857,3.82432079148749
226,0.672619047619048,46,34.3035714285714,3.78405006476028
227,0.675595238095238,46,34.4553571428571,3.74376420426039
228,0.678571428571429,46,34.6071428571429,3.70345876352865
229,0.681547619047619,46,34.7589285714286,3.66312923044247
230,0.68452380952381,46,34.9107142857143,3.62277102329967
231,0.6875,46,35.0625,3.58237948673827
232,0.69047619047619,46,35.2142857142857,3.54194988748122
233,0.693452380952381,47,35.3660714285714,3.83075152400743
234,0.696428571428571,47,35.5178571428571,3.79113364278817
235,0.699404761904762,47,35.6696428571429,3.75148439492611
236,0.702380952380952,47,35.8214285714286,3.71179914656553
237,0.705357142857143,47,35.9732142857143,3.67207317911067
238,0.708333333333333,47,36.125,3.63230168442904
239,0.711309523809524,47,36.2767857142857,3.59247975982453
240,0.714285714285714,47,36.4285714285714,3.55260240276467
241,0.717261904761905,47,36.5803571428571,3.51266450534506
242,0.720238095238095,47,36.7321428571429,3.47266084847279
243,0.723214285714286,47,36.8839285714286,3.43258609574932
244,0.726190476190476,47,37.0357142857143,3.39243478703151
245,0.729166666666667,47,37.1875,3.35220133164819
246,0.732142857142857,47,37.3392857142857,3.31188000124759
247,0.735119047619048,47,37.4910714285714,3.27146492224892
248,0.738095238095238,47,37.6428571428571,3.23095006786946
249,0.741071428571429,47,37.7946428571429,3.19032924969591
250,0.744047619047619,47,37.9464285714286,3.14959610876614
251,0.74702380952381,47,38.0982142857143,3.1087441061248
252,0.75,47,38.25,3.06776651281281
253,0.75297619047619,47,38.4017857142857,3.02665639924747
254,0.755952380952381,47,38.5535714285714,2.9854066239461
255,0.758928571428571,47,38.7053571428571,2.94400982154169
256,0.761904761904762,47,38.8571428571429,2.90245839003462
257,0.764880952380952,47,39.0089285714286,2.86074447721933
258,0.767857142857143,47,39.1607142857143,2.81885996621879
259,0.770833333333333,47,39.3125,2.77679646005386
260,0.773809523809524,47,39.4642857142857,2.73454526516701
261,0.776785714285714,47,39.6160714285714,2.6920973738127
262,0.779761904761905,47,39.7678571428571,2.64944344521736
263,0.782738095238095,47,39.9196428571429,2.60657378540299
264,0.785714285714286,47,40.0714285714286,2.56347832555703
265,0.788690476190476,47,40.2232142857143,2.52014659881953
266,0.791666666666667,47,40.375,2.47656771534482
267,0.794642857142857,48,40.5267857142857,2.80854522868557
268,0.797619047619048,48,40.6785714285714,2.7664838496156
269,0.800595238095238,48,40.8303571428571,2.72419470280754
270,0.803571428571429,48,40.9821428571429,2.68166693007265
